case_id,problem,partition,pool,composition_model,mechanism_id,measurement_reason,delta_measures,delta_direction,delta_near,delta_no_signal,delta_whole_case_clear_attempts,delta_whole_case_fallback_targets,both_phase_nonempty,delta_direction_rate,delta_near_rate,delta_no_signal_rate
stage2-round-calibrated-p3-0072-71c674458484f17e,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0072-71c674458484f17e,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0074-a21bcb12665b7fc8,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0074-a21bcb12665b7fc8,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0075-8bc6821891fb1e25,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0075-8bc6821891fb1e25,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0077-f5d0090397d91c91,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0077-f5d0090397d91c91,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0078-e266f300463fb786,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0078-e266f300463fb786,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0079-acb5e8a902557cf6,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0079-acb5e8a902557cf6,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p4-0000-eed96f78d62125f1,4,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,1,0,-1,-38,0,True,0.08333333333333326,0.0,-0.08333333333333333
stage2-round-calibrated-p4-0000-eed96f78d62125f1,4,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,-38,0,True,0.0,0.0,0.0
stage2-round-calibrated-p4-0001-680042f8d9cc2a35,4,confirmation,calibrated,broad_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,2,0,-2,-49,0,True,0.18181818181818182,0.0,-0.18181818181818177
stage2-round-calibrated-p4-0001-680042f8d9cc2a35,4,confirmation,calibrated,broad_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,-49,0,True,0.0,0.0,0.0
stage2-round-calibrated-p4-0002-87605f793b1cd0aa,4,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,11,-1,True,0.0,0.0,0.0
