partition,problem,pool,composition_model,measurement_reason,mechanism_id,pairs,both_phase_nonempty_pairs,mean_delta_measures,mean_delta_direction,mean_delta_near,mean_delta_no_signal,mean_delta_whole_case_clear_attempts,mean_delta_whole_case_fallback_targets,mean_delta_direction_rate,mean_delta_near_rate,mean_delta_no_signal_rate
development,3,broad,broad_joint,global_coverage,assumption__radius_max__noise_deterministic__scale_150,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_max__noise_deterministic__scale_300,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_max__noise_deterministic__scale_75,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_max__noise_extreme__scale_150,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_max__noise_extreme__scale_300,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_max__noise_extreme__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_min__noise_correlated__scale_150,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_min__noise_correlated__scale_300,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_min__noise_correlated__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_min__noise_deterministic__scale_150,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_min__noise_deterministic__scale_300,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_min__noise_deterministic__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_min__noise_extreme__scale_150,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_min__noise_extreme__scale_300,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_min__noise_extreme__scale_75,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_mixed__noise_correlated__scale_150,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_mixed__noise_correlated__scale_300,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_mixed__noise_correlated__scale_75,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_mixed__noise_deterministic__scale_150,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_mixed__noise_deterministic__scale_300,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_mixed__noise_deterministic__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_mixed__noise_extreme__scale_150,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_mixed__noise_extreme__scale_300,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,global_coverage,assumption__radius_mixed__noise_extreme__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,__design_mixture__,64,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_max__noise_correlated__scale_150,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_max__noise_correlated__scale_300,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_max__noise_correlated__scale_75,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_max__noise_deterministic__scale_150,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_max__noise_deterministic__scale_300,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_max__noise_deterministic__scale_75,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_max__noise_extreme__scale_150,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_max__noise_extreme__scale_300,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_max__noise_extreme__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_min__noise_correlated__scale_150,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_min__noise_correlated__scale_300,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_min__noise_correlated__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_min__noise_deterministic__scale_150,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_min__noise_deterministic__scale_300,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_min__noise_deterministic__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_min__noise_extreme__scale_150,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_min__noise_extreme__scale_300,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_min__noise_extreme__scale_75,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_mixed__noise_correlated__scale_150,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_mixed__noise_correlated__scale_300,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_mixed__noise_correlated__scale_75,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_mixed__noise_deterministic__scale_150,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_mixed__noise_deterministic__scale_300,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_mixed__noise_deterministic__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_mixed__noise_extreme__scale_150,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_mixed__noise_extreme__scale_300,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,broad,broad_joint,local_active_sensing,assumption__radius_mixed__noise_extreme__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,calibrated,broad_joint,global_coverage,__design_mixture__,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,calibrated,broad_joint,global_coverage,mixed_correlated150_after_observable_screen,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,calibrated,broad_joint,global_coverage,mixed_extreme150_after_observable_screen,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,calibrated,broad_joint,local_active_sensing,__design_mixture__,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,calibrated,broad_joint,local_active_sensing,mixed_correlated150_after_observable_screen,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,calibrated,broad_joint,local_active_sensing,mixed_extreme150_after_observable_screen,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,calibrated,smoothed_joint,global_coverage,__design_mixture__,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,calibrated,smoothed_joint,global_coverage,mixed_correlated150_after_observable_screen,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,calibrated,smoothed_joint,global_coverage,mixed_extreme150_after_observable_screen,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,calibrated,smoothed_joint,local_active_sensing,__design_mixture__,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,calibrated,smoothed_joint,local_active_sensing,mixed_correlated150_after_observable_screen,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,calibrated,smoothed_joint,local_active_sensing,mixed_extreme150_after_observable_screen,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,__design_mixture__,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_max__noise_correlated__scale_150,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_max__noise_correlated__scale_300,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_max__noise_correlated__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_max__noise_deterministic__scale_150,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_max__noise_deterministic__scale_300,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_max__noise_deterministic__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_max__noise_extreme__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_min__noise_correlated__scale_150,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_min__noise_correlated__scale_300,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_min__noise_correlated__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_min__noise_deterministic__scale_150,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_min__noise_deterministic__scale_300,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_min__noise_deterministic__scale_75,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_min__noise_extreme__scale_150,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,3,stress,stress_design,global_coverage,assumption__radius_min__noise_extreme__scale_300,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
