case_id,problem,pool,composition_model,mechanism_id,partition,variant,baseline_variant,baseline_complete,candidate_complete,total_actual_time_delta_s,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,walk_distance_m_delta,measures_delta,clear_attempts_delta,failed_clear_attempts_delta,component_residual_s
stage3-round-broad-p3-0023-f4c2093f593214d3,3,broad,broad_joint,assumption__radius_max__noise_extreme__scale_300,development,immediate,joint,True,True,4468.087615,4361.087621418243,0,-19,126,0,21805.43810709121,0,42,42,-6.418242264771834e-06
stage3-round-broad-p3-0023-f4c2093f593214d3,3,broad,broad_joint,assumption__radius_max__noise_extreme__scale_300,development,scan_then_clear,joint,True,True,670.4876789999998,714.4876778156049,0,-5,-39,0,3572.4383890780264,0,-13,-13,1.1843949323520064e-06
stage3-round-broad-p3-0024-903f451e44e14480,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_300,development,immediate,joint,True,True,2183.8082939999995,2178.808298015267,0,-16,21,0,10894.041490076335,0,7,7,-4.015267677459633e-06
stage3-round-broad-p3-0024-903f451e44e14480,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_300,development,scan_then_clear,joint,True,True,604.9706829999996,644.9706838442762,0,-4,-36,0,3224.853419221381,0,-12,-12,-8.442766556981951e-07
stage3-round-broad-p3-0025-b87abde9e0431417,3,broad,broad_joint,assumption__radius_mixed__noise_correlated__scale_300,development,immediate,joint,True,True,2564.649424,2517.6494335562193,0,-19,66,0,12588.247167781094,0,22,22,-9.556219083606265e-06
stage3-round-broad-p3-0025-b87abde9e0431417,3,broad,broad_joint,assumption__radius_mixed__noise_correlated__scale_300,development,scan_then_clear,joint,True,True,445.3985480000001,515.398553430312,0,-4,-66,0,2576.992767151558,0,-22,-22,-5.430311830423307e-06
stage3-round-broad-p3-0026-fd946d8b8a928675,3,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_300,development,immediate,joint,True,True,1179.3781649999996,1177.3781677319653,0,-13,15,0,5886.890838659827,0,5,5,-2.7319656510371715e-06
stage3-round-broad-p3-0026-fd946d8b8a928675,3,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_300,development,scan_then_clear,joint,True,True,635.780096,650.7800972939317,0,-3,-12,0,3253.900486469658,0,-4,-4,-1.2939317457494326e-06
stage3-round-broad-p3-0027-a8732b3d83539433,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_75,development,immediate,joint,True,True,1786.6654159999998,1792.6654188770926,0,-18,12,0,8963.327094385466,0,4,4,-2.877092811104376e-06
stage3-round-broad-p3-0027-a8732b3d83539433,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_75,development,scan_then_clear,joint,True,True,668.968382,704.9683783420805,0,-3,-33,0,3524.8418917104027,0,-11,-11,3.6579194784280844e-06
stage3-round-broad-p3-0028-40753bf7d3dab007,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_75,development,immediate,joint,True,True,873.6862520000004,878.6862578576374,0,-14,9,0,4393.431289288186,0,3,3,-5.857637006556615e-06
