case_id,problem,pool,composition_model,mechanism_id,partition,variant,baseline_variant,baseline_complete,candidate_complete,total_actual_time_delta_s,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,walk_distance_m_delta,measures_delta,clear_attempts_delta,failed_clear_attempts_delta,component_residual_s
round-calibrated-p3-0189-03e226b073815a70,3,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-228.60980300000028,-145.60980163350177,-95,0,12,0,-728.0490081675089,-19,4,4,-1.366498509014491e-06
round-calibrated-p4-0000-320fa8012f945f59,4,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-308.5816589999995,-282.5816554232706,-185,0,159,0,-1412.908277116352,-37,53,53,-3.576728886400815e-06
round-calibrated-p4-0002-7aefaba8fcb39c57,4,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-222.1772600000004,-238.17725428336053,-200,0,216,0,-1190.886271416799,-40,72,72,-5.716639861930162e-06
round-calibrated-p4-0003-f7b197817a6b6775,4,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-776.914279999999,-652.9142764750031,-205,0,81,0,-3264.5713823750193,-41,27,27,-3.524995918269269e-06
round-calibrated-p4-0009-29f0efe28c71f339,4,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-984.5546719999984,-773.5546700190189,-250,0,39,0,-3867.7733500950926,-50,13,13,-1.9809795048786327e-06
round-calibrated-p4-0019-d8441c1de6055060,4,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,296.2031399999996,138.20314411161962,-160,0,318,0,691.0157205580981,-32,106,106,-4.111620000912808e-06
round-calibrated-p4-0022-a9fba1af32e7583a,4,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-287.15777100000014,-212.15776878958604,-120,0,45,0,-1060.7888439479357,-24,15,15,-2.2104140953160822e-06
round-calibrated-p4-0025-c0b0b598e843fcf1,4,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-757.2148859999998,-613.214878343304,-165,0,21,0,-3066.0743917165164,-33,7,7,-7.65669574320782e-06
round-calibrated-p4-0026-bbacf0d0e7df8cbd,4,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-336.25169599999936,-232.25169255896435,-140,0,36,0,-1161.2584627948236,-28,12,12,-3.4410350053803995e-06
round-calibrated-p4-0031-5e06ef1d745429bf,4,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-924.9520130000001,-748.9520082860981,-245,0,69,0,-3744.760041430498,-49,23,23,-4.713901944342069e-06
round-calibrated-p4-0032-0193931ba80f010c,4,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-540.227132,-439.2271314018317,-110,0,9,0,-2196.1356570091593,-22,3,3,-5.981682988931425e-07
round-calibrated-p4-0036-4e033a6e0367656d,4,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-456.30730399999993,-324.30730353544277,-165,0,33,0,-1621.5365176772102,-33,11,11,-4.645571607397869e-07
round-calibrated-p4-0045-c91629092c69392f,4,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-652.7489150000001,-542.7489073577381,-245,0,135,0,-2713.7445367886903,-49,45,45,-7.642262062290683e-06
