pool,problem,composition_model,partition,mechanism_id,mechanism_status,noise_model,variant,baseline_variant,n_pairs,baseline_failures,candidate_failures,completion_delta_mean,penalized_time_delta_mean_s,penalized_delta_ci_low_s,penalized_delta_ci_high_s,both_complete_n,completed_time_delta_mean_s,completed_time_delta_median_s,completed_regression_rate,completed_worst_regression_s,mean_completed_reduction_pct,ci_scope,precision_warning,completed_delta_ci_low_s,completed_delta_ci_high_s
broad,3,broad_joint,all,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,5,0,0,0.0,-766.8039016000001,-935.7428034000001,-595.6143798000002,5,-766.8039016000001,-816.950597,0.0,-527.8836940000001,14.069858292711675,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-935.7428034000001,-595.6143798000002
broad,3,broad_joint,all,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,all,joint_triangular_l2,joint_triangular_l5,5,0,0,0.0,-546.6674079999999,-655.6099096649997,-430.45836919999965,5,-546.6674079999999,-583.3707859999995,0.0,-351.91815700000006,9.9792828103246,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-662.8764468000002,-424.5005244
broad,3,broad_joint,all,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,all,joint_triangular_l3,joint_triangular_l5,5,0,0,0.0,-362.1703911999999,-452.9412842,-272.5894251999998,5,-362.1703911999999,-312.356229,0.0,-258.1854979999998,6.634267335802176,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-452.9412842,-271.3994981999998
broad,3,broad_joint,all,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,correlated,joint_triangular_l1,joint_triangular_l5,5,0,0,0.0,-766.8039016000001,-935.0683964,-604.1828710000002,5,-766.8039016000001,-816.950597,0.0,-527.8836940000001,14.069858292711675,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-935.0683964,-595.6143798000002
broad,3,broad_joint,all,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,correlated,joint_triangular_l2,joint_triangular_l5,5,0,0,0.0,-546.6674079999999,-662.8764468000002,-430.45836919999965,5,-546.6674079999999,-583.3707859999995,0.0,-351.91815700000006,9.9792828103246,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-662.8764468000002,-424.5005244
broad,3,broad_joint,all,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,correlated,joint_triangular_l3,joint_triangular_l5,5,0,0,0.0,-362.1703911999999,-451.43212979999953,-271.3994981999998,5,-362.1703911999999,-312.356229,0.0,-258.1854979999998,6.634267335802176,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-452.9412842,-272.5894251999998
broad,3,broad_joint,development,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,5,0,0,0.0,-766.8039016000001,-935.0683964,-604.1828710000002,5,-766.8039016000001,-816.950597,0.0,-527.8836940000001,14.069858292711675,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-935.0683964,-595.6143798000002
broad,3,broad_joint,development,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,all,joint_triangular_l2,joint_triangular_l5,5,0,0,0.0,-546.6674079999999,-662.8764468000002,-430.39177284000004,5,-546.6674079999999,-583.3707859999995,0.0,-351.91815700000006,9.9792828103246,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-662.8764468000002,-430.45836919999965
broad,3,broad_joint,development,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,all,joint_triangular_l3,joint_triangular_l5,5,0,0,0.0,-362.1703911999999,-452.9412842,-271.3994981999998,5,-362.1703911999999,-312.356229,0.0,-258.1854979999998,6.634267335802176,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-452.9412842,-271.3994981999998
broad,3,broad_joint,development,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,correlated,joint_triangular_l1,joint_triangular_l5,5,0,0,0.0,-766.8039016000001,-935.7428034000001,-595.5975196250002,5,-766.8039016000001,-816.950597,0.0,-527.8836940000001,14.069858292711675,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-935.7428034000001,-595.6143798000002
