case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s,walk_distance_m_delta,measures_delta,failed_clear_attempts_delta,failed_clear_cost_s_delta,fallback_targets_delta,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,post_clear_stop_tail_s_delta
p4-refinement-development-round-broad-p4-0009-3fa5613d730c3695,4,broad,broad_joint,development,deterministic,coverage,assumption__radius_min__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,current,True,0,-2235.697379000001,-2235.697379000001,20.03519507993634,11158.850064,8923.152685,-8978.486897559684,-80,11,33.0,0,-1795.6973795119366,-400.0,-73.0,33.0,0.0,0.0
p4-refinement-development-round-broad-p4-0009-3fa5613d730c3695,4,broad,broad_joint,development,deterministic,local_cover,assumption__radius_min__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,current,True,0,-417.44686399999955,-417.44686399999955,3.7409487680701177,11158.850064,10741.4032,-1442.2343041240674,0,-43,-129.0,0,-288.4468608248135,0.0,0.0,-129.0,0.0,0.0
p4-refinement-development-round-broad-p4-0010-94e0ff899339839c,4,broad,broad_joint,development,correlated,combined_cover,assumption__radius_min__noise_correlated__scale_150,broad_or_stress_assumption,True,True,current,True,0,-2982.0502960000003,-2982.0502960000003,27.326335602255934,10912.733926,7930.68363,-13025.251480913383,-35,-58,-174.0,0,-2605.050296182677,-175.0,-28.0,-174.0,0.0,1269.576234
p4-refinement-development-round-broad-p4-0010-94e0ff899339839c,4,broad,broad_joint,development,correlated,coverage,assumption__radius_min__noise_correlated__scale_150,broad_or_stress_assumption,True,True,current,True,0,-2909.135443000001,-2909.135443000001,26.658172578265436,10912.733926,8003.598483,-12795.677223868366,-35,-49,-147.0,0,-2559.135444773674,-175.0,-28.0,-147.0,0.0,1267.912832
p4-refinement-development-round-broad-p4-0010-94e0ff899339839c,4,broad,broad_joint,development,correlated,local_cover,assumption__radius_min__noise_correlated__scale_150,broad_or_stress_assumption,True,True,current,True,0,-12.049016000000847,-12.049016000000847,0.11041244184735056,10912.733926,10900.68491,-330.2450736871906,0,18,54.0,0,-66.04901473743848,0.0,0.0,54.0,0.0,0.0
p4-refinement-development-round-broad-p4-0011-bb2807b937126691,4,broad,broad_joint,development,extreme,combined_cover,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,True,True,current,True,0,-2166.7621830000007,-2166.7621830000007,21.602950765643648,10029.936218,7863.174035,-8788.81091469866,-38,-62,-186.0,0,-1757.7621829397322,-190.0,-33.0,-186.0,0.0,-1702.6552420000007
p4-refinement-development-round-broad-p4-0011-bb2807b937126691,4,broad,broad_joint,development,extreme,coverage,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,True,True,current,True,0,-2147.220222000001,-2147.220222000001,21.408114421969504,10029.936218,7882.715996,-8691.101109959149,-38,-62,-186.0,0,-1738.22022199183,-190.0,-33.0,-186.0,0.0,-1702.6552420000007
p4-refinement-development-round-broad-p4-0011-bb2807b937126691,4,broad,broad_joint,development,extreme,local_cover,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,True,True,current,True,0,-250.67884700000104,-250.67884700000104,2.4993064916018692,10029.936218,9779.257371,-863.3942371041121,0,-26,-78.0,0,-172.67884742082242,0.0,0.0,-78.0,0.0,2.6688589999985197
p4-refinement-development-round-broad-p4-0012-bd823dac3d4f660e,4,broad,broad_joint,development,deterministic,combined_cover,assumption__radius_max__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,current,True,0,-646.5806030000003,-646.5806030000003,5.993493652783844,10788.041841,10141.461238,-2572.9030246158654,-47,47,141.0,1,-514.5806049231724,-235.0,-38.0,141.0,0.0,-1397.3727319999998
p4-refinement-development-round-broad-p4-0012-bd823dac3d4f660e,4,broad,broad_joint,development,deterministic,coverage,assumption__radius_max__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,current,True,0,-767.8451459999997,-767.8451459999997,7.117558101061499,10788.041841,10020.196695,-3044.225749864854,-47,38,114.0,1,-608.8451499729708,-235.0,-38.0,114.0,0.0,-1397.3727319999998
p4-refinement-development-round-broad-p4-0012-bd823dac3d4f660e,4,broad,broad_joint,development,deterministic,local_cover,assumption__radius_max__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,current,True,0,460.10369700000047,460.10369700000047,-4.264941717702413,10788.041841,11248.145538,1445.518497715253,0,57,171.0,0,289.10369954305133,0.0,0.0,171.0,0.0,-0.8746449999998731
p4-refinement-development-round-broad-p4-0013-0589761a107607de,4,broad,broad_joint,development,correlated,combined_cover,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1547.6567069999983,-1547.6567069999983,14.544912819676396,10640.536153,9092.879446,-5553.283537465955,-22,-103,-309.0,0,-1110.6567074931918,-110.0,-18.0,-309.0,0.0,-3733.8352349999996
p4-refinement-development-round-broad-p4-0013-0589761a107607de,4,broad,broad_joint,development,correlated,coverage,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1400.0514249999997,-1400.0514249999997,13.157715033046227,10640.536153,9240.484728,-5055.257127567689,-22,-87,-261.0,0,-1011.0514255135386,-110.0,-18.0,-261.0,0.0,-3733.8352349999996
p4-refinement-development-round-broad-p4-0013-0589761a107607de,4,broad,broad_joint,development,correlated,local_cover,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,True,True,current,True,0,232.89672500000052,232.89672500000052,-2.1887687016066146,10640.536153,10873.432878,774.4836302858603,0,26,78.0,0,154.8967260571717,0.0,0.0,78.0,0.0,0.527129000000059
p4-refinement-development-round-broad-p4-0014-05015274c22b60ec,4,broad,broad_joint,development,extreme,combined_cover,assumption__radius_max__noise_extreme__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1365.1545999999998,-1365.1545999999998,12.17020414875574,11217.187348,9852.032748,-7400.772975340093,18,1,3.0,3,-1480.1545950680174,90.0,22.0,3.0,0.0,0.0
p4-refinement-development-round-broad-p4-0014-05015274c22b60ec,4,broad,broad_joint,development,extreme,coverage,assumption__radius_max__noise_extreme__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1499.803464999999,-1499.803464999999,13.37058407308683,11217.187348,9717.383883,-7789.017316768841,18,-18,-54.0,3,-1557.8034633537673,90.0,22.0,-54.0,0.0,0.0
p4-refinement-development-round-broad-p4-0014-05015274c22b60ec,4,broad,broad_joint,development,extreme,local_cover,assumption__radius_max__noise_extreme__scale_150,broad_or_stress_assumption,True,True,current,True,0,73.17867800000022,73.17867800000022,-0.6523799213627989,11217.187348,11290.366026,185.89339141778328,0,12,36.0,0,37.17867828355702,0.0,0.0,36.0,0.0,0.0
p4-refinement-development-round-broad-p4-0015-6f3287cf8f197c49,4,broad,broad_joint,development,deterministic,combined_cover,assumption__radius_mixed__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1929.1674190000003,-1929.1674190000003,19.815619201215846,9735.589887,7806.422468,-7760.837104863149,-60,-8,-24.0,0,-1552.1674209726298,-300.0,-53.0,-24.0,0.0,115.46223799999916
