case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s
stage3-round-broad-p3-0034-dba605902c2c1a6b,3,broad,broad_joint,development,correlated,scan_then_clear,assumption__radius_mixed__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint,True,0,774.5685899999999,774.5685899999999,-15.508180850483125,4994.580586,5769.149176
stage3-round-broad-p3-0035-929869c2e0d1de6c,3,broad,broad_joint,development,extreme,immediate,assumption__radius_mixed__noise_extreme__scale_75,broad_or_stress_assumption,True,True,joint,True,0,2210.2503260000003,2210.2503260000003,-53.91792645304891,4099.286585,6309.536911
stage3-round-broad-p3-0035-929869c2e0d1de6c,3,broad,broad_joint,development,extreme,scan_then_clear,assumption__radius_mixed__noise_extreme__scale_75,broad_or_stress_assumption,True,True,joint,True,0,742.5472570000002,742.5472570000002,-18.114060620135934,4099.286585,4841.833842
stage3-round-broad-p3-0036-2e5ad1cb93f8be44,3,broad,broad_joint,development,deterministic,immediate,assumption__radius_min__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,joint,True,0,811.9973520000003,811.9973520000003,-16.28010593596519,4987.666267,5799.663619
stage3-round-broad-p3-0036-2e5ad1cb93f8be44,3,broad,broad_joint,development,deterministic,scan_then_clear,assumption__radius_min__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,joint,True,0,-238.01788599999963,-238.01788599999963,4.772129353858383,4987.666267,4749.648381
stage3-round-broad-p3-0037-e573ff1d2b9af958,3,broad,broad_joint,development,correlated,immediate,assumption__radius_min__noise_correlated__scale_150,broad_or_stress_assumption,True,True,joint,True,0,1126.342716,1126.342716,-25.239327071963338,4462.64955,5588.992266
stage3-round-broad-p3-0037-e573ff1d2b9af958,3,broad,broad_joint,development,correlated,scan_then_clear,assumption__radius_min__noise_correlated__scale_150,broad_or_stress_assumption,True,True,joint,True,0,603.8663749999996,603.8663749999996,-13.53156612981182,4462.64955,5066.515925
stage3-round-broad-p3-0038-cdcff086c2827c54,3,broad,broad_joint,development,extreme,immediate,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,True,True,joint,True,0,1456.9084149999999,1456.9084149999999,-35.095276447769336,4151.294882,5608.203297
stage3-round-broad-p3-0038-cdcff086c2827c54,3,broad,broad_joint,development,extreme,scan_then_clear,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,True,True,joint,True,0,586.7686160000003,586.7686160000003,-14.13459252302762,4151.294882,4738.063498
stage3-round-broad-p3-0039-eeefe0b0bbbc06bc,3,broad,broad_joint,development,deterministic,immediate,assumption__radius_max__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,joint,True,0,3894.599830000001,3894.599830000001,-83.82726274619935,4645.982348,8540.582178
