case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s,walk_distance_m_delta,measures_delta,failed_clear_attempts_delta,failed_clear_cost_s_delta,fallback_targets_delta,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,post_clear_stop_tail_s_delta
p4-refinement-confirmation-round-broad-p4-0116-9e31a2f52e1c7494,4,broad,broad_joint,confirmation,extreme,coverage,assumption__radius_mixed__noise_extreme__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1487.5973099999992,-1487.5973099999992,13.0423901478308,11405.86421,9918.2669,-7492.9865471537705,-16,34,102.0,1,-1498.5973094307537,-80.0,-11.0,102.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0117-45d5f458828b0537,4,broad,broad_joint,confirmation,deterministic,combined_cover,assumption__radius_min__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1204.2745579999992,-1204.2745579999992,10.913027891562573,11035.200954,9830.926396,-4806.372784606676,-66,48,144.0,2,-961.2745569213348,-330.0,-57.0,144.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0117-45d5f458828b0537,4,broad,broad_joint,confirmation,deterministic,coverage,assumption__radius_min__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1546.3034979999993,-1546.3034979999993,14.012463429037066,11035.200954,9488.897456,-5871.517476713685,-66,5,15.0,2,-1174.3034953427368,-330.0,-57.0,15.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0118-132d603a763b593d,4,broad,broad_joint,confirmation,correlated,combined_cover,assumption__radius_min__noise_correlated__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1541.3041520000006,-1541.3041520000006,14.161391589154935,10883.846706,9342.542554,-7591.5207772008725,-25,41,123.0,2,-1518.3041554401743,-125.0,-21.0,123.0,0.0,204.12654699999985
p4-refinement-confirmation-round-broad-p4-0118-132d603a763b593d,4,broad,broad_joint,confirmation,correlated,coverage,assumption__radius_min__noise_correlated__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1709.3203059999996,-1709.3203059999996,15.705111916522059,10883.846706,9174.5264,-8116.60155257571,-25,20,60.0,2,-1623.3203105151415,-125.0,-21.0,60.0,0.0,204.9383880000005
p4-refinement-confirmation-round-broad-p4-0119-66fe1a9f87b7b391,4,broad,broad_joint,confirmation,extreme,combined_cover,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1994.6814520000007,-1994.6814520000007,19.226485355817477,10374.654624,8379.973172,-6803.407242446938,-91,-32,-96.0,1,-1360.6814484893875,-455.0,-83.0,-96.0,0.0,-372.135354
p4-refinement-confirmation-round-broad-p4-0119-66fe1a9f87b7b391,4,broad,broad_joint,confirmation,extreme,coverage,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1445.4622350000009,-1445.4622350000009,13.932629927324708,10374.654624,8929.192389,-4987.31115710445,-91,30,90.0,1,-997.46223142089,-455.0,-83.0,90.0,0.0,-375.0703760000006
p4-refinement-confirmation-round-broad-p4-0120-bbc0e68738b3531e,4,broad,broad_joint,confirmation,deterministic,combined_cover,assumption__radius_max__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,current,True,0,-2357.2480099999993,-2357.2480099999993,21.05982114094339,11193.105555,8835.857545,-10316.240071482323,-31,-39,-117.0,0,-2063.248014296465,-155.0,-22.0,-117.0,0.0,-3158.04471
p4-refinement-confirmation-round-broad-p4-0120-bbc0e68738b3531e,4,broad,broad_joint,confirmation,deterministic,coverage,assumption__radius_max__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,current,True,0,-2536.7414499999995,-2536.7414499999995,22.663428282125224,11193.105555,8656.364105,-11168.707262732103,-31,-42,-126.0,-1,-2233.741452546421,-155.0,-22.0,-126.0,0.0,-2076.5188229999994
p4-refinement-confirmation-round-broad-p4-0121-8ba26f6a4216b0d2,4,broad,broad_joint,confirmation,correlated,combined_cover,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,True,True,current,True,0,-2504.320818,-2504.320818,20.99498595211791,11928.185252,9423.864434,-11026.60408349146,17,-135,-405.0,-1,-2205.320816698292,85.0,21.0,-405.0,0.0,-763.1031370000001
p4-refinement-confirmation-round-broad-p4-0121-8ba26f6a4216b0d2,4,broad,broad_joint,confirmation,correlated,coverage,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,True,True,current,True,0,-2557.6893519999994,-2557.6893519999994,21.442401320612888,11928.185252,9370.4959,-11008.446751376927,17,-154,-462.0,-1,-2201.6893502753856,85.0,21.0,-462.0,0.0,-758.2059419999987
p4-refinement-confirmation-round-broad-p4-0122-7389ed0f02bdd2ed,4,broad,broad_joint,confirmation,extreme,combined_cover,assumption__radius_max__noise_extreme__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1411.8601600000002,-1411.8601600000002,13.367028862452587,10562.258633,9150.398473,-5854.300795789139,-33,-16,-48.0,-1,-1170.860159157828,-165.0,-28.0,-48.0,0.0,-2021.903088
p4-refinement-confirmation-round-broad-p4-0122-7389ed0f02bdd2ed,4,broad,broad_joint,confirmation,extreme,coverage,assumption__radius_max__noise_extreme__scale_150,broad_or_stress_assumption,True,True,current,True,0,-1383.2495849999996,-1383.2495849999996,13.096153323478266,10562.258633,9179.009048,-5741.247928838326,-33,-14,-42.0,-1,-1148.2495857676658,-165.0,-28.0,-42.0,0.0,-2021.3671689999992
