pool,problem,composition_model,partition,mechanism_id,mechanism_status,noise_model,variant,baseline_variant,n_pairs,baseline_failures,candidate_failures,completion_delta_mean,penalized_time_delta_mean_s,penalized_delta_ci_low_s,penalized_delta_ci_high_s,both_complete_n,completed_time_delta_mean_s,completed_time_delta_median_s,completed_regression_rate,completed_worst_regression_s,mean_completed_reduction_pct,ci_scope,precision_warning,completed_delta_ci_low_s,completed_delta_ci_high_s
broad,4,broad_joint,confirmation,__design_mixture__,design_mixture_only_not_official_population,correlated,combined_cover,current,107,0,0,0.0,-1671.1570968785047,-1838.322889309346,-1486.245259946262,107,-1671.1570968785047,-1628.3704190000008,0.018691588785046728,2666.557009,15.199078966211117,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1845.8568813974296,-1491.2847102221963
broad,4,broad_joint,confirmation,__design_mixture__,design_mixture_only_not_official_population,correlated,coverage,current,107,0,0,0.0,-1572.6707093084112,-1758.1889998315423,-1393.8876815338785,107,-1572.6707093084112,-1597.9057809999995,0.028037383177570093,2717.488378,14.297208299272715,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1751.362887717056,-1385.6910174656546
broad,4,broad_joint,confirmation,__design_mixture__,design_mixture_only_not_official_population,deterministic,combined_cover,current,107,0,0,0.0,-1421.590791813084,-1592.576714062617,-1247.102789470795,107,-1421.590791813084,-1481.7362819999998,0.056074766355140186,1581.8602589999991,13.035663258110072,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1586.4578842462618,-1251.3399338084112
broad,4,broad_joint,confirmation,__design_mixture__,design_mixture_only_not_official_population,deterministic,coverage,current,107,0,0,0.0,-1284.354049495327,-1451.726420835514,-1117.7147879677573,107,-1284.354049495327,-1360.8340680000001,0.07476635514018691,1612.5343639999992,11.759131868323388,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1445.9807523259346,-1115.8933905350468
broad,4,broad_joint,confirmation,__design_mixture__,design_mixture_only_not_official_population,extreme,combined_cover,current,106,0,0,0.0,-1669.0693010660377,-1866.990914259198,-1457.706325998349,106,-1669.0693010660377,-1701.6443259999996,0.03773584905660377,2846.0953039999995,14.808935707173854,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1871.7684767209905,-1470.9706301841984
broad,4,broad_joint,confirmation,__design_mixture__,design_mixture_only_not_official_population,extreme,coverage,current,106,0,0,0.0,-1430.7564618301888,-1659.6207816606127,-1191.8441139400945,106,-1430.7564618301888,-1473.5533965000004,0.10377358490566038,3021.7747549999995,12.590317076450114,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1655.1191635139148,-1195.141311075236
broad,4,broad_joint,all,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,all,combined_cover,current,12,0,0,0.0,-1801.0561589166666,-2708.032534583333,-792.9832620708341,12,-1801.0561589166666,-2013.7273939999995,0.08333333333333333,2666.557009,14.590246503332446,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-2688.2469750875,-756.3643720812505
broad,4,broad_joint,all,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,all,coverage,current,12,0,0,0.0,-1660.8624940000002,-2530.4679607520834,-681.6143182104172,12,-1660.8624940000002,-1761.3498505000007,0.08333333333333333,2717.488378,13.367855312779142,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-2500.239625008333,-637.0285420000002
broad,4,broad_joint,all,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,correlated,combined_cover,current,12,0,0,0.0,-1801.0561589166666,-2734.70205841875,-715.4230904083336,12,-1801.0561589166666,-2013.7273939999995,0.08333333333333333,2666.557009,14.590246503332446,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-2794.312798477083,-822.9387287916669
broad,4,broad_joint,all,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,correlated,coverage,current,12,0,0,0.0,-1660.8624940000002,-2524.314897472917,-658.2837659500001,12,-1660.8624940000002,-1761.3498505000007,0.08333333333333333,2717.488378,13.367855312779142,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-2520.913201447916,-618.5124722395841
broad,4,broad_joint,confirmation,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,all,combined_cover,current,12,0,0,0.0,-1801.0561589166666,-2704.7680738125005,-765.7170058312519,12,-1801.0561589166666,-2013.7273939999995,0.08333333333333333,2666.557009,14.590246503332446,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-2759.3466240833336,-739.1149066062504
