split,variant,case_id,seed,layout,radius_mode,error_mode,ring_radius_m,status,error,source_total,clear_successes,clear_fraction,total_virtual_time_s,average_clear_time_s,walk_distance_m,measures,switches,clear_attempts,fallback_targets,program_real_time_s,timing_residual_s
development,original,local-p3-911302-clustered-max-extreme,911302,clustered,max,extreme,1558.8457268119894,complete,,10,10,1.0,3410.228953,341.02289529999996,13856.14477377826,101,84,10,0,1.0149377000052482,-1.7556521925143898e-06
development,ring1125,local-p3-911302-clustered-max-extreme,911302,clustered,max,extreme,1125.0,complete,,10,10,1.0,2825.281499,282.5281499,10931.407493223836,101,84,10,0,0.9506063999142498,3.5523271435522474e-07
development,ring1200,local-p3-911302-clustered-max-extreme,911302,clustered,max,extreme,1200.0,complete,,10,10,1.0,2923.359389,292.33593890000003,11421.79694529497,101,84,10,0,1.18638580001425,-5.899346433579922e-08
development,ring1300,local-p3-911302-clustered-max-extreme,911302,clustered,max,extreme,1300.0,complete,,10,10,1.0,3056.993746,305.6993746,12089.96873336518,101,84,10,0,1.301270900061354,-6.730360837536864e-07
development,original,local-p3-911303-center_and_boundary-max-positive,911303,center_and_boundary,max,positive,1558.8457268119894,complete,,16,16,1.0,5512.995691,344.5622306875,23084.97845314579,129,102,39,6,1.3326689000241458,3.708419171744026e-07
development,ring1125,local-p3-911303-center_and_boundary-max-positive,911303,center_and_boundary,max,positive,1125.0,complete,,16,16,1.0,6023.629613,376.4768508125,25558.148050397733,136,101,33,5,1.6730311999563128,2.920453880506102e-06
development,ring1200,local-p3-911303-center_and_boundary-max-positive,911303,center_and_boundary,max,positive,1200.0,complete,,16,16,1.0,6003.196568,375.1997855,25540.982835067756,135,101,29,5,1.5523319999920204,9.864488674793392e-07
development,ring1300,local-p3-911303-center_and_boundary-max-positive,911303,center_and_boundary,max,positive,1300.0,complete,,16,16,1.0,5944.392014,371.524500875,25306.960066897027,129,101,35,6,1.130275800009258,6.205946192494594e-07
development,original,local-p3-911304-random-mixed-negative,911304,random,mixed,negative,1558.8457268119894,complete,,10,10,1.0,5091.412987,509.1412987,21112.064920620116,134,104,25,6,1.3279013000428677,2.8759768611053005e-06
development,ring1125,local-p3-911304-random-mixed-negative,911304,random,mixed,negative,1125.0,complete,,10,10,1.0,4455.778889,445.5778889,17813.89442792403,135,105,31,6,1.288524700095877,3.4151935324189253e-06
development,ring1200,local-p3-911304-random-mixed-negative,911304,random,mixed,negative,1200.0,complete,,10,10,1.0,4509.994869,450.9994869,18184.974321807305,131,105,31,6,1.247189600020647,4.638539394363761e-06
development,ring1300,local-p3-911304-random-mixed-negative,911304,random,mixed,negative,1300.0,complete,,10,10,1.0,4728.447604,472.8447604,19282.23800344687,134,104,26,5,1.2714889000635594,3.3106261980719864e-06
development,original,local-p3-911305-boundary-mixed-deterministic,911305,boundary,mixed,deterministic,1558.8457268119894,complete,,16,16,1.0,5612.269871,350.7668669375,23376.3493502296,140,106,33,7,1.2331379000097513,9.540799510432407e-07
development,ring1125,local-p3-911305-boundary-mixed-deterministic,911305,boundary,mixed,deterministic,1125.0,complete,,16,16,1.0,6013.528506,375.845531625,25367.642524654217,139,105,36,5,1.3952792000491172,1.0691564966691658e-06
development,ring1200,local-p3-911305-boundary-mixed-deterministic,911305,boundary,mixed,deterministic,1200.0,complete,,16,16,1.0,5939.467666,371.216729125,25087.3383147862,136,105,35,6,1.3291294000810012,3.0427590900217183e-06
development,ring1300,local-p3-911305-boundary-mixed-deterministic,911305,boundary,mixed,deterministic,1300.0,complete,,16,16,1.0,5841.103342,365.068958875,24500.516702013272,144,105,28,4,1.2576845999574289,1.5973455447237939e-06
development,original,local-p3-911306-clustered-min-correlated,911306,clustered,min,correlated,1558.8457268119894,complete,,10,10,1.0,3687.980727,368.79807270000003,14619.903657261208,120,114,10,0,0.6857909999089316,-4.4522412281367e-06
development,ring1125,local-p3-911306-clustered-min-correlated,911306,clustered,min,correlated,1125.0,complete,,10,10,1.0,3888.541748,388.8541748,15547.708731699202,123,114,10,0,0.6826049999799579,1.6601597963017412e-06
development,ring1200,local-p3-911306-clustered-min-correlated,911306,clustered,min,correlated,1200.0,complete,,10,10,1.0,3456.389093,345.63890929999997,13461.945458706366,120,114,10,0,0.7452858999604359,1.2587265700858552e-06
development,ring1300,local-p3-911306-clustered-min-correlated,911306,clustered,min,correlated,1300.0,complete,,10,10,1.0,3327.101609,332.7101609,12815.508042735055,120,114,10,0,0.6835820000851527,4.5298884288058616e-07
development,original,local-p3-911307-center_and_boundary-min-extreme,911307,center_and_boundary,min,extreme,1558.8457268119894,complete,,16,16,1.0,4995.394329,312.2121455625,20981.971653815257,119,106,22,1,0.985127400024794,-1.7630518414080143e-06
development,ring1125,local-p3-911307-center_and_boundary-min-extreme,911307,center_and_boundary,min,extreme,1125.0,complete,,16,16,1.0,5215.113855,325.9446159375,21620.569256669096,137,111,21,3,1.405539899948053,3.666180418804288e-06
development,ring1200,local-p3-911307-center_and_boundary-min-extreme,911307,center_and_boundary,min,extreme,1200.0,complete,,16,16,1.0,5132.816802,320.801050125,21439.084028761208,127,106,24,3,1.3736180999549106,-3.7522413549595512e-06
development,ring1300,local-p3-911307-center_and_boundary-min-extreme,911307,center_and_boundary,min,extreme,1300.0,complete,,16,16,1.0,5547.311439,346.7069649375,23451.55719968075,124,106,33,4,1.232214599964209,-9.361492629977874e-07
