case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s
round-calibrated-p3-0186-bad9967bb12155d7,3,calibrated,smoothed_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-437.4201800000001,-437.4201800000001,8.887298699737435,4921.857527,4484.437347
round-calibrated-p3-0189-03e226b073815a70,3,calibrated,broad_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-228.60980300000028,-228.60980300000028,4.435648877293864,5153.920189,4925.310386
round-calibrated-p4-0000-320fa8012f945f59,4,calibrated,smoothed_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-308.5816589999995,-308.5816589999995,2.874020047382395,10736.934813,10428.353154
round-calibrated-p4-0002-7aefaba8fcb39c57,4,calibrated,smoothed_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-222.1772600000004,-222.1772600000004,1.7960308462377277,12370.45903,12148.28177
round-calibrated-p4-0003-f7b197817a6b6775,4,calibrated,broad_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-776.914279999999,-776.914279999999,6.5470477704254755,11866.635272,11089.720992
round-calibrated-p4-0009-29f0efe28c71f339,4,calibrated,broad_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-984.5546719999984,-984.5546719999984,7.952211013623946,12380.892186,11396.337514
round-calibrated-p4-0019-d8441c1de6055060,4,calibrated,broad_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,296.2031399999996,296.2031399999996,-2.6937379854170715,10995.989276,11292.192416
round-calibrated-p4-0022-a9fba1af32e7583a,4,calibrated,smoothed_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-287.15777100000014,-287.15777100000014,2.5122314586493926,11430.386719,11143.228948
round-calibrated-p4-0025-c0b0b598e843fcf1,4,calibrated,broad_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-757.2148859999998,-757.2148859999998,5.40329555643822,14013.945343,13256.730457
round-calibrated-p4-0026-bbacf0d0e7df8cbd,4,calibrated,smoothed_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-336.25169599999936,-336.25169599999936,3.1939254905548773,10527.850352,10191.598656
