pool,problem,composition_model,partition,mechanism_id,mechanism_status,noise_model,variant,baseline_variant,n_pairs,baseline_failures,candidate_failures,completion_delta_mean,penalized_time_delta_mean_s,penalized_delta_ci_low_s,penalized_delta_ci_high_s,both_complete_n,completed_time_delta_mean_s,completed_time_delta_median_s,completed_regression_rate,completed_worst_regression_s,mean_completed_reduction_pct,ci_scope,precision_warning,completed_delta_ci_low_s,completed_delta_ci_high_s
broad,3,broad_joint,confirmation,assumption__radius_max__noise_deterministic__scale_300,broad_or_stress_assumption,deterministic,joint_triangular_l1,joint_triangular_l5,1,0,0,0.0,-1104.0238280000003,,,1,-1104.0238280000003,-1104.0238280000003,0.0,-1104.0238280000003,16.548377810179158,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,3,broad_joint,all,assumption__radius_max__noise_deterministic__scale_75,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-693.391701,-964.8736640000006,-421.9097379999994,2,-693.391701,-693.391701,0.0,-421.9097379999994,12.519995129410248,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-964.8736640000006,-421.9097379999994
broad,3,broad_joint,all,assumption__radius_max__noise_deterministic__scale_75,broad_or_stress_assumption,deterministic,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-693.391701,-964.8736640000006,-421.9097379999994,2,-693.391701,-693.391701,0.0,-421.9097379999994,12.519995129410248,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-964.8736640000006,-421.9097379999994
broad,3,broad_joint,confirmation,assumption__radius_max__noise_deterministic__scale_75,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-693.391701,-964.8736640000006,-421.9097379999994,2,-693.391701,-693.391701,0.0,-421.9097379999994,12.519995129410248,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-964.8736640000006,-421.9097379999994
broad,3,broad_joint,confirmation,assumption__radius_max__noise_deterministic__scale_75,broad_or_stress_assumption,deterministic,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-693.391701,-964.8736640000006,-421.9097379999994,2,-693.391701,-693.391701,0.0,-421.9097379999994,12.519995129410248,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-964.8736640000006,-421.9097379999994
broad,3,broad_joint,all,assumption__radius_max__noise_extreme__scale_150,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,4,0,0,0.0,-659.3155344999999,-890.59394975,-469.10887325,4,-659.3155344999999,-618.2437804999997,0.0,-402.0449090000002,12.129692426936458,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-890.59394975,-469.10887325
broad,3,broad_joint,all,assumption__radius_max__noise_extreme__scale_150,broad_or_stress_assumption,extreme,joint_triangular_l1,joint_triangular_l5,4,0,0,0.0,-659.3155344999999,-890.59394975,-469.10887325,4,-659.3155344999999,-618.2437804999997,0.0,-402.0449090000002,12.129692426936458,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-890.59394975,-469.10887325
broad,3,broad_joint,confirmation,assumption__radius_max__noise_extreme__scale_150,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,4,0,0,0.0,-659.3155344999999,-890.59394975,-469.10887325,4,-659.3155344999999,-618.2437804999997,0.0,-402.0449090000002,12.129692426936458,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-890.59394975,-469.10887325
broad,3,broad_joint,confirmation,assumption__radius_max__noise_extreme__scale_150,broad_or_stress_assumption,extreme,joint_triangular_l1,joint_triangular_l5,4,0,0,0.0,-659.3155344999999,-890.59394975,-469.10887325,4,-659.3155344999999,-618.2437804999997,0.0,-402.0449090000002,12.129692426936458,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-890.59394975,-469.10887325
broad,3,broad_joint,all,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-108.5805734999999,-149.84253999999964,-67.31860700000016,2,-108.5805734999999,-108.5805734999999,0.0,-67.31860700000016,2.156744160242971,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-149.84253999999964,-67.31860700000016
broad,3,broad_joint,all,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,extreme,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-108.5805734999999,-149.84253999999964,-67.31860700000016,2,-108.5805734999999,-108.5805734999999,0.0,-67.31860700000016,2.156744160242971,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-149.84253999999964,-67.31860700000016
