case_id,mode,source_distance_m,true_angle_deg,first_error_deg,first_report_deg,second_error_deg,receiver_radius_m,q_x,q_y,second_response,safety_certificate,movement_m,movement_and_second_measure_s,crossing_acute_angle_deg,posterior_diameter_m,posterior_mec_radius_m,direction_outcome_bound_m,mec_center_error_m,certified_clear_after_two,extra_clear_movement_m
d100_a0.0049_e0,active,100.0,0.0049,0.0,0.0,0.75,1000.0,375.0,225.0,direction,convex_hull_first_station_and_Q_safe,437.3213921133975,92.4642784226795,39.2834394821602,23.845129356743964,11.922564678373675,241.9103211568431,7.205026921093079,True,339.91923175542433
d100_a0.0049_e1,fixed,100.0,0.0049,1.0,1.0,0.75,1000.0,692.9124240345604,412.15576256865495,direction,Q_safe,806.2257748298549,166.24515496597098,34.79916186205941,49.86608380367426,24.933041901839175,111.6672558693896,19.184917786813703,False,
d100_a0.0049_e1,estimated,100.0,0.0049,1.0,1.0,0.75,1000.0,721.6858947833327,177.54852987719914,direction,Q_safe,743.2052281777721,153.64104563555443,15.93329027942686,96.40011141713057,48.20005570856794,167.98139298877288,37.598632491305565,False,
d100_a0.0049_e1,active,100.0,0.0049,1.0,1.0,0.75,1000.0,371.016094235258,231.51038382416934,direction,convex_hull_first_station_and_Q_safe,437.32139211339756,92.46427842267951,40.49903837226619,23.741731961684998,11.870865980844219,241.7188640438828,9.403502575729458,True,338.35855212813965
d100_a90_e-1,fixed,100.0,90.0,-1.0,89.0,0.75,1000.0,-387.722393556458,706.8743491843873,direction,Q_safe,806.2257748298549,166.24515496597098,32.573863703538336,50.1589073187806,25.079453659392286,112.20357240224983,14.10218456329991,False,
d100_a90_e-1,estimated,100.0,90.0,-1.0,89.0,0.75,1000.0,177.54852987722586,721.6858947833309,direction,Q_safe,743.2052281777767,153.64104563555534,15.938919032175628,106.34702129308796,53.17351064654578,167.98139298875142,27.72325862901789,False,
d100_a90_e-1,active,100.0,90.0,-1.0,89.0,0.75,1000.0,231.51038382416937,371.0160942352579,direction,convex_hull_first_station_and_Q_safe,437.32139211339756,92.46427842267951,40.504983694352205,24.507951882938553,12.253975941470802,241.71886404388073,5.70471672541432,True,349.92387077558004
d100_a90_e0,fixed,100.0,90.0,0.0,90.0,0.75,1000.0,-399.99999999999994,700.0,direction,Q_safe,806.2257748298549,166.24515496597098,33.6900675259798,50.005601549744505,25.002800774874267,111.910925817556,16.65856054956863,False,
d100_a90_e0,estimated,100.0,90.0,0.0,90.0,0.75,1000.0,159.1479957554244,721.8211308091813,direction,Q_safe,739.157513278201,152.8315026556402,14.356031974737514,110.1846050744142,55.0923025372088,172.89590806730567,35.548815562803206,False,
d100_a90_e0,active,100.0,90.0,0.0,90.0,0.75,1000.0,225.00000000000003,375.0,direction,convex_hull_first_station_and_Q_safe,437.32139211339756,92.46427842267951,39.28940686250034,24.620552513865036,12.310276256934015,241.91032115684192,7.490316591106694,True,351.62346398686407
